"unit","geo","time","values"
"PPS_HAB_EU","PL52",2004,42
"PPS_HAB_EU","PL61",2004,43
"PPS_HAB_EU","PL62",2004,37
"PPS_HAB_EU","PL63",2004,48
"PPS_HAB_EU","PT11",2004,60
"PPS_HAB_EU","PT15",2004,80
"PPS_HAB_EU","PT16",2004,66
"PPS_HAB_EU","PT17",2004,110
"PPS_HAB_EU","PT18",2004,71
"PPS_HAB_EU","PT20",2004,67
"PPS_HAB_EU","PT30",2004,76
"PPS_HAB_EU","RO11",2004,32
"PPS_HAB_EU","RO12",2004,33
"PPS_HAB_EU","RO21",2004,22
"PPS_HAB_EU","RO22",2004,30
"PPS_HAB_EU","RO31",2004,28
"PPS_HAB_EU","RO32",2004,70
"PPS_HAB_EU","RO41",2004,28
"PPS_HAB_EU","RO42",2004,37
"PPS_HAB_EU","SE11",2004,179
"PPS_HAB_EU","SE12",2004,112
"PPS_HAB_EU","SE21",2004,113
"PPS_HAB_EU","SE22",2004,114
"PPS_HAB_EU","SE23",2004,124
"PPS_HAB_EU","SE31",2004,110
"PPS_HAB_EU","SE32",2004,115
"PPS_HAB_EU","SE33",2004,116
"PPS_HAB_EU","SI03",2004,70
"PPS_HAB_EU","SI04",2004,104
"PPS_HAB_EU","SK01",2004,127
"PPS_HAB_EU","SK02",2004,53
"PPS_HAB_EU","SK03",2004,46
"PPS_HAB_EU","SK04",2004,42
"PPS_HAB_EU","UKC1",2004,88
"PPS_HAB_EU","UKC2",2004,99
"PPS_HAB_EU","UKD1",2004,102
"PPS_HAB_EU","UKD3",2004,111
"PPS_HAB_EU","UKD4",2004,101
"PPS_HAB_EU","UKD6",2004,135
"PPS_HAB_EU","UKD7",2004,96
"PPS_HAB_EU","UKE1",2004,102
"PPS_HAB_EU","UKE2",2004,120
"PPS_HAB_EU","UKE3",2004,92
"PPS_HAB_EU","UKE4",2004,109
"PPS_HAB_EU","UKF1",2004,98
"PPS_HAB_EU","UKF2",2004,112
"PPS_HAB_EU","UKF3",2004,91
"PPS_HAB_EU","UKG1",2004,111
"PPS_HAB_EU","UKG2",2004,98
"PPS_HAB_EU","UKG3",2004,109
"PPS_HAB_EU","UKH1",2004,117
"PPS_HAB_EU","UKH2",2004,137
"PPS_HAB_EU","UKH3",2004,108
"PPS_HAB_EU","UKI3",2004,533
"PPS_HAB_EU","UKI4",2004,203
"PPS_HAB_EU","UKI5",2004,94
"PPS_HAB_EU","UKI6",2004,119
"PPS_HAB_EU","UKI7",2004,139
"PPS_HAB_EU","UKJ1",2004,172
"PPS_HAB_EU","UKJ2",2004,129
"PPS_HAB_EU","UKJ3",2004,125
"PPS_HAB_EU","UKJ4",2004,104
"PPS_HAB_EU","UKK1",2004,131
"PPS_HAB_EU","UKK2",2004,102
"PPS_HAB_EU","UKK3",2004,87
"PPS_HAB_EU","UKK4",2004,101
"PPS_HAB_EU","UKL1",2004,77
"PPS_HAB_EU","UKL2",2004,113
"PPS_HAB_EU","UKM2",2004,120
"PPS_HAB_EU","UKM3",2004,106
"PPS_HAB_EU","UKM5",2004,144
"PPS_HAB_EU","UKM6",2004,108
"PPS_HAB_EU","UKN0",2004,99
"PPS_HAB_EU","AT11",2005,83
"PPS_HAB_EU","AT12",2005,101
"PPS_HAB_EU","AT13",2005,166
"PPS_HAB_EU","AT21",2005,105
"PPS_HAB_EU","AT22",2005,110
"PPS_HAB_EU","AT31",2005,123
"PPS_HAB_EU","AT32",2005,139
"PPS_HAB_EU","AT33",2005,130
"PPS_HAB_EU","AT34",2005,129
"PPS_HAB_EU","BE10",2005,235
"PPS_HAB_EU","BE21",2005,142
"PPS_HAB_EU","BE22",2005,95
"PPS_HAB_EU","BE23",2005,104
"PPS_HAB_EU","BE24",2005,122
"PPS_HAB_EU","BE25",2005,110
"PPS_HAB_EU","BE31",2005,123
"PPS_HAB_EU","BE32",2005,78
"PPS_HAB_EU","BE33",2005,86
"PPS_HAB_EU","BE34",2005,81
"PPS_HAB_EU","BE35",2005,82
"PPS_HAB_EU","BG31",2005,27
"PPS_HAB_EU","BG32",2005,28
"PPS_HAB_EU","BG33",2005,32
"PPS_HAB_EU","BG34",2005,34
"PPS_HAB_EU","BG41",2005,54
"PPS_HAB_EU","BG42",2005,28
"PPS_HAB_EU","CY00",2005,99
"PPS_HAB_EU","CZ01",2005,171
"PPS_HAB_EU","CZ02",2005,74
"PPS_HAB_EU","CZ03",2005,74
"PPS_HAB_EU","CZ04",2005,64
"PPS_HAB_EU","CZ05",2005,67
"PPS_HAB_EU","CZ06",2005,70
"PPS_HAB_EU","CZ07",2005,62
"PPS_HAB_EU","CZ08",2005,67
"PPS_HAB_EU","DE11",2005,146
"PPS_HAB_EU","DE12",2005,133
"PPS_HAB_EU","DE13",2005,112
"PPS_HAB_EU","DE14",2005,122
"PPS_HAB_EU","DE21",2005,172
"PPS_HAB_EU","DE22",2005,109
"PPS_HAB_EU","DE23",2005,113
"PPS_HAB_EU","DE24",2005,101
"PPS_HAB_EU","DE25",2005,125
"PPS_HAB_EU","DE26",2005,117
"PPS_HAB_EU","DE27",2005,115
"PPS_HAB_EU","DE30",2005,108
"PPS_HAB_EU","DE40",2005,80
"PPS_HAB_EU","DE50",2005,159
"PPS_HAB_EU","DE60",2005,212
"PPS_HAB_EU","DE71",2005,169
"PPS_HAB_EU","DE72",2005,107
"PPS_HAB_EU","DE73",2005,112
"PPS_HAB_EU","DE80",2005,76
"PPS_HAB_EU","DE91",2005,115
"PPS_HAB_EU","DE92",2005,115
"PPS_HAB_EU","DE93",2005,81
"PPS_HAB_EU","DE94",2005,100
"PPS_HAB_EU","DEA1",2005,129
"PPS_HAB_EU","DEA2",2005,128
"PPS_HAB_EU","DEA3",2005,103
"PPS_HAB_EU","DEA4",2005,114
"PPS_HAB_EU","DEA5",2005,105
"PPS_HAB_EU","DEB1",2005,100
"PPS_HAB_EU","DEB2",2005,94
"PPS_HAB_EU","DEB3",2005,111
"PPS_HAB_EU","DEC0",2005,115
"PPS_HAB_EU","DED2",2005,87
"PPS_HAB_EU","DED4",2005,78
"PPS_HAB_EU","DED5",2005,86
"PPS_HAB_EU","DEE0",2005,78
"PPS_HAB_EU","DEF0",2005,101
"PPS_HAB_EU","DEG0",2005,77
"PPS_HAB_EU","DK01",2005,152
"PPS_HAB_EU","DK02",2005,88
"PPS_HAB_EU","DK03",2005,106
"PPS_HAB_EU","DK04",2005,110
"PPS_HAB_EU","DK05",2005,104
"PPS_HAB_EU","EE00",2005,59
"PPS_HAB_EU","EL30",2005,120
"PPS_HAB_EU","EL41",2005,71
"PPS_HAB_EU","EL42",2005,104
"PPS_HAB_EU","EL43",2005,82
"PPS_HAB_EU","EL51",2005,66
"PPS_HAB_EU","EL52",2005,72
"PPS_HAB_EU","EL53",2005,83
"PPS_HAB_EU","EL54",2005,66
"PPS_HAB_EU","EL61",2005,69
"PPS_HAB_EU","EL62",2005,92
"PPS_HAB_EU","EL63",2005,70
"PPS_HAB_EU","EL64",2005,88
"PPS_HAB_EU","EL65",2005,72
"PPS_HAB_EU","ES11",2005,83
